	accuracy	block	eight_IKI	eight_RT	five_IKI	five_RT	four_IKI	four_RT	group	max_time	movement_time	one_IKI	one_RT	pressed	reward	seq_keys	sequence	seven_IKI	seven_RT	six_IKI	six_RT	subject	three_IKI	three_RT	too_slow	two_IKI	two_RT
65	1	2	208.0	206.0	320.0	318.0	321.0	319.0	e	2299.0	1969.0	312.0	312.0	[2, 1, 4, 2, 3, 1, 4, 3]	5	[2, 1, 4, 2, 3, 1, 4, 3]	A	256.0	254.0	352.0	350.0	246	272.0	270.0	0	240.0	238.0
66	0	2						286.0	e	2297.0	768.0	342.0	342.0	[4, 3, 1, 2]	10	[4, 3, 1, 4, 2, 3, 1, 2]	B					246	240.0	238.0	0	240.0	238.0
67	1	2	224.0	222.0	256.0	254.0	256.0	254.0	e	2297.0	1776.0	459.0	459.0	[3, 2, 4, 1, 2, 4, 3, 1]	30	[3, 2, 4, 1, 2, 4, 3, 1]	C	288.0	286.0	272.0	270.0	246	240.0	238.0	0	240.0	238.0
68	1	2	240.0	238.0	256.0	254.0	256.0	254.0	e	2295.0	1808.0	343.0	343.0	[3, 2, 4, 1, 2, 4, 3, 1]	30	[3, 2, 4, 1, 2, 4, 3, 1]	C	272.0	270.0	288.0	286.0	246	256.0	254.0	0	240.0	238.0
69	1	2	128.0	126.0	304.0	302.0	288.0	286.0	e	2263.0	1904.0	311.0	311.0	[2, 1, 4, 2, 3, 1, 4, 3]	5	[2, 1, 4, 2, 3, 1, 4, 3]	A	288.0	286.0	368.0	366.0	246	288.0	286.0	0	240.0	238.0
70	1	2	224.0	222.0	256.0	254.0	288.0	286.0	e	2247.0	1888.0	359.0	359.0	[4, 3, 1, 4, 2, 3, 1, 2]	10	[4, 3, 1, 4, 2, 3, 1, 2]	B	384.0	382.0	288.0	286.0	246	224.0	222.0	0	224.0	222.0
71	0	2	384.0	382.0	256.0	254.0	496.0	494.0	e	2231.0	2143.0	327.0	327.0	[4, 3, 1, 4, 2, 3, 1, 2]	10	[4, 3, 1, 4, 2, 3, 1, 2]	B	223.0	221.0	304.0	302.0	246	256.0	254.0	1	224.0	222.0
72	0	3		334.0	240.0	238.0	384.0	382.0	e	2231.0	2079.0	459.0	459.0	[4, 3, 1, 4, 2, 3, 1, 4]	10	[4, 3, 1, 4, 2, 3, 1, 2]	B	367.0	366.0	304.0	302.0	246	256.0	254.0	0	192.0	190.0
73	1	3	176.0	174.0	256.0	254.0	336.0	334.0	e	2231.0	1744.0	345.0	345.0	[4, 3, 1, 4, 2, 3, 1, 2]	10	[4, 3, 1, 4, 2, 3, 1, 2]	B	240.0	238.0	240.0	238.0	246	288.0	286.0	0	208.0	206.0
74	0	3		254.0	320.0	318.0	304.0	302.0	e	2231.0	2032.0	359.0	359.0	[3, 2, 4, 1, 2, 4, 3, 2]	30	[3, 2, 4, 1, 2, 4, 3, 1]	C	352.0	350.0	336.0	334.0	246	240.0	238.0	0	224.0	222.0
75	0	3							e	2231.0	496.0	314.0	314.0	[3, 2, 1]	30	[3, 2, 4, 1, 2, 4, 3, 1]	C					246		254.0	0	240.0	238.0
76	0	3	208.0	206.0	320.0	318.0	416.0	414.0	e	2231.0	2144.0	411.0	411.0	[4, 3, 1, 4, 2, 3, 1, 2]	10	[4, 3, 1, 4, 2, 3, 1, 2]	B	336.0	334.0	272.0	270.0	246	304.0	302.0	1	288.0	286.0
77	0	3	320.0	318.0	416.0	414.0	256.0	254.0	e	2231.0	2272.0	312.0	312.0	[3, 2, 4, 1, 2, 4, 3, 1]	30	[3, 2, 4, 1, 2, 4, 3, 1]	C	352.0	350.0	432.0	430.0	246	272.0	270.0	1	224.0	222.0
78	1	3	240.0	238.0	240.0	238.0	272.0	270.0	e	2231.0	1792.0	394.0	394.0	[4, 3, 1, 4, 2, 3, 1, 2]	10	[4, 3, 1, 4, 2, 3, 1, 2]	B	304.0	302.0	256.0	254.0	246	240.0	238.0	0	240.0	238.0
